,pair_id,id_1,id_2,text_1,text_2,is_paraphrase,jaccard,levenshtein,synonyms,hyponyms,hypernyms,symbols,numbers,short_forms,voice_change,adjectivization,adverbialization,relativization,predicate_change,prep_var,abbreviations,inversion
0,1,201,8159,"['полицейским', 'разрешат', 'стрелять', 'на', 'поражение', 'по', 'гражданам', 'с', 'травматикой']","['полиции', 'могут', 'разрешить', 'стрелять', 'по', 'хулиганам', 'с', 'травматикой']",0,0.4166666666666667,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,202,8158,"['право', 'полицейских', 'на', 'проникновение', 'в', 'жилище', 'решили', 'ограничить']","['правила', 'внесудебного', 'проникновения', 'полицейских', 'в', 'жилище', 'уточнят']",0,0.36363636363636365,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,273,8167,"['президент', 'египта', 'ввел', 'чрезвычайное', 'положение', 'в', 'мятежных', 'городах']","['власти', 'египта', 'угрожают', 'ввести', 'в', 'стране', 'чрезвычайное', 'положение']",0,0.45454545454545453,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,220,8160,"['вернувшихся', 'из', 'сирии', 'россиян', 'волнует', 'вопрос', 'трудоустройства', 'на', 'родине']","['самолеты', 'мчс', 'вывезут', 'россиян', 'из', 'разрушенной', 'сирии']",-1,0.23076923076923078,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,223,8160,"['в', 'москву', 'из', 'сирии', 'вернулись', '2', 'самолета', 'мчс', 'с', 'россиянами', 'на', 'борту']","['самолеты', 'мчс', 'вывезут', 'россиян', 'из', 'разрушенной', 'сирии']",0,0.35714285714285715,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,6,154,8153,"['приставы', 'соберут', 'отпечатки', 'пальцев', 'российских', 'должников']","['приставы', 'снимут', 'отпечатки', 'пальцев', 'у', 'злостных', 'неплательщиков']",1,0.3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,288,8170,"['на', 'саратовского', 'дебошира', 'с', 'борта', 'самолета', 'москва', 'хургада', 'заведено', 'дело']","['саратовский', 'дебошир', 'отказывается', 'возвращаться', 'домой', 'из', 'египта']",-1,0.13333333333333333,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,237,8163,"['цик', 'хочет', 'отказаться', 'от', 'электронной', 'системы', 'подсчета', 'голосов']","['цик', 'может', 'отказаться', 'от', 'электронных', 'средств', 'подсчета', 'голосов']",0,0.6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,192,8156,"['суд', 'петербурга', 'оставил', 'на', 'потом', 'дело', 'о', 'гибели', 'подростка', 'в', 'полиции']","['лондонский', 'гайд-парк', 'это', 'не', 'место', 'для', 'митингов', 'а', 'прежде', 'всего', 'парк']",-1,0.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,10,127,8149,"['страны', 'опек', 'сократили', 'добычу', 'нефти', 'на', '1', 'млн', 'баррелей', 'в', 'день']","['обама', 'продлил', 'полномочия', 'наса', 'по', 'сотрудничеству', 'с', 'россией']",-1,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,246,8165,"['москвичи', 'смогут', 'забронировать', 'в', 'интернете', 'место', 'на', 'кладбище']","['в', 'москве', 'можно', 'будет', 'забронировать', 'место', 'на', 'кладбище', 'через', 'интернет']",1,0.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,12,312,8173,"['въезд', 'в', 'центр', 'москвы', 'автомобилям', 'с', 'двигателями', 'евро-2', 'не', 'запрещали']","['сборная', 'россии', 'пробилась', 'в', 'плей-офф', 'чемпионата', 'мира', 'по', 'хоккею', 'с', 'мячом']",-1,0.10526315789473684,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,7,4111,"['в', 'подмосковье', 'произошел', 'пожар', 'на', 'железной', 'дороге']","['в', 'подмосковье', 'загорелись', 'цистерны', 'с', 'бензином']",0,0.18181818181818182,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,4,4112,"['северокорейский', 'лидер', 'впервые', 'за', '19', 'лет', 'поздравил', 'граждан', 'с', 'новым', 'годом']","['лидер', 'кндр', 'впервые', 'за', '19', 'лет', 'поздравил', 'сограждан', 'с', 'новым', 'годом']",1,0.6666666666666666,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,15,6,4113,"['мужчина', 'из', 'подмосковья', 'случайно', 'убил', 'жену', 'в', 'новый', 'год']","['житель', 'подмосковья', 'случайно', 'убил', 'жену', 'на', 'новогоднем', 'застолье']",1,0.3076923076923077,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,1,4114,"['избежать', '``', 'фискального', 'обрыва', ""''"", 'сенат', 'сша', 'поддержал', 'повышение', 'налогов']","['сенат', 'сша', 'не', 'допустит', '``', 'фискального', 'обрыва', ""''""]",0,0.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,2,4114,"['``', 'фискальный', 'обрыв', ""''"", 'в', 'сша', 'временно', 'предотвращен']","['сенат', 'сша', 'не', 'допустит', '``', 'фискального', 'обрыва', ""''""]",0,0.45454545454545453,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,122,4222,"['житель', 'украины', 'расстрелял', 'посетителей', 'кафе']","['на', 'украине', 'мужчина', 'через', 'окно', 'расстрелял', 'посетителей', 'кафе']",1,0.4444444444444444,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,5,4115,"['в', 'кот-д`ивуаре', 'десятки', 'человек', 'погибли', 'в', 'давке', 'на', 'новогоднем', 'салюте']","['в', 'давке', 'у', 'стадиона', 'в', 'кот-д', '’', 'ивуаре', 'погибли', '60', 'человек']",0,0.26666666666666666,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,188,4296,"['в', 'абхазии', 'отомстили', 'за', 'деда', 'хасана']","['в', 'абхазии', 'убили', 'врага', 'деда', 'хасана']",0,0.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,3,4116,"['чечня', 'попросила', 'националистов', 'составить', 'кодекс', 'поведения', 'кавказцев']","['националисты', 'помогут', 'чечне', 'составить', 'кодекс', 'поведения', 'кавказцев']",0,0.75,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,11,4117,"['в', 'новогоднюю', 'ночь', 'во', 'франции', 'сожгли', 'больше', 'тысячи', 'машин']","['в', 'новогоднюю', 'ночь', 'во', 'франции', 'сожгли', '1193', 'автомобиля']",1,0.5,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,12,4118,"['в', 'анголе', 'в', 'давке', 'во', 'время', 'церковной', 'службы', 'погибли', '10', 'человек']","['в', 'ходе', 'давки', 'на', 'церковной', 'службе', 'в', 'анголе', 'погибли', '10', 'человек']",1,0.7272727272727273,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,183,4297,"['morgan', 'stanley', 'взял', 'на', 'работу', 'бывшего', 'зампреда', 'банка', 'россии']","['бывший', 'глава', 'фсфр', 'нашел', 'работу', 'в', 'morgan', 'stanley']",1,0.3076923076923077,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,9,4119,"['конгресс', 'сша', 'утвердил', 'план', 'по', 'предотвращению', '``', 'фискального', 'обрыва', ""''""]","['палата', 'представителей', 'утвердила', 'план', 'предотвращения', '``', 'фискального', 'обрыва', ""''""]",1,0.5833333333333334,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,116,4223,"['счетная', 'палата', 'проверит', 'газпром', 'на', 'непрофильные', 'активы']","['счетная', 'палата', 'проверит', '``', 'газпром', ""''"", 'впервые', 'за', 'пять', 'лет']",0,0.3076923076923077,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,10,4120,"['новые', 'комиксы', 'о', 'пророке', 'мухаммеде', 'появились', 'во', 'франции']","['во', 'франции', 'издали', 'комикс', 'по', 'мотивам', 'жизни', 'пророка', 'мухаммада']",1,0.3076923076923077,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,28,8,4121,"['число', 'убитых', 'в', 'ходе', 'конфликта', 'в', 'сирии', 'превысило', '60', 'тысяч']","['в', 'ходе', 'сирийского', 'конфликта', 'погибли', '60', 'тысяч', 'человек']",0,0.4166666666666667,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,29,15,4122,"['в', 'сша', 'скончалась', 'звезда', 'эстрады', '1950-х', 'патти', 'пейдж']","['скончалась', 'американская', 'певица', 'патти', 'пейдж']",1,0.3,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,30,13,4123,"['сенат', 'сша', 'единогласно', 'осудил', '``', 'закон', 'димы', 'яковлева', ""''""]","['сенат', 'сша', 'единогласно', 'осудил', 'запрет', 'на', 'усыновление']",1,0.3333333333333333,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,241,4360,"['госдума', 'еще', 'на', 'шаг', 'приблизила', 'антитабачный', 'закон']","['госдума', 'приняла', 'антитабачный', 'законопроект', 'во', 'втором', 'чтении']",0,0.16666666666666666,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
