,pair_id,id_1,id_2,text_1,text_2,is_paraphrase
0,1,201,8159,"['полицейский', 'разрешить', 'стрелять', 'на', 'поражение', 'по', 'гражданин', 'с', 'травматика']","['полиция', 'мочь', 'разрешить', 'стрелять', 'по', 'хулиган', 'с', 'травматика']",0
1,2,202,8158,"['право', 'полицейский', 'на', 'проникновение', 'в', 'жилище', 'решить', 'ограничить']","['правило', 'внесудебный', 'проникновение', 'полицейский', 'в', 'жилище', 'уточнить']",0
2,3,273,8167,"['президент', 'египет', 'ввести', 'чрезвычайный', 'положение', 'в', 'мятежный', 'город']","['власть', 'египет', 'угрожать', 'ввести', 'в', 'страна', 'чрезвычайный', 'положение']",0
3,4,220,8160,"['вернуться', 'из', 'сирия', 'россиянин', 'волновать', 'вопрос', 'трудоустройство', 'на', 'родина']","['самолёт', 'мчс', 'вывезти', 'россиянин', 'из', 'разрушить', 'сирия']",-1
4,5,223,8160,"['в', 'москва', 'из', 'сирия', 'вернуться', '2', 'самолёт', 'мчс', 'с', 'россиянин', 'на', 'борт']","['самолёт', 'мчс', 'вывезти', 'россиянин', 'из', 'разрушить', 'сирия']",0
5,6,154,8153,"['пристав', 'собрать', 'отпечаток', 'палец', 'российский', 'должник']","['пристав', 'снять', 'отпечаток', 'палец', 'у', 'злостный', 'неплательщик']",1
6,7,288,8170,"['на', 'саратовский', 'дебошир', 'с', 'борт', 'самолёт', 'москва', 'хургад', 'завести', 'дело']","['саратовский', 'дебошир', 'отказываться', 'возвращаться', 'домой', 'из', 'египет']",-1
7,8,237,8163,"['цик', 'хотеть', 'отказаться', 'от', 'электронный', 'система', 'подсчёт', 'голос']","['цик', 'мочь', 'отказаться', 'от', 'электронный', 'средство', 'подсчёт', 'голос']",0
8,9,192,8156,"['суд', 'петербург', 'оставить', 'на', 'потом', 'дело', 'о', 'гибель', 'подросток', 'в', 'полиция']","['лондонский', 'гайд-парк', 'это', 'не', 'место', 'для', 'митинг', 'а', 'прежде', 'весь', 'парк']",-1
9,10,127,8149,"['страна', 'опек', 'сократить', 'добыча', 'нефть', 'на', '1', 'млн', 'баррель', 'в', 'день']","['обама', 'продлить', 'полномочие', 'наса', 'по', 'сотрудничество', 'с', 'россия']",-1
10,11,246,8165,"['москвич', 'смочь', 'забронировать', 'в', 'интернет', 'место', 'на', 'кладбище']","['в', 'москва', 'можно', 'быть', 'забронировать', 'место', 'на', 'кладбище', 'через', 'интернет']",1
11,12,312,8173,"['въезд', 'в', 'центр', 'москва', 'автомобиль', 'с', 'двигатель', 'евро-2', 'не', 'запрещать']","['сборная', 'россия', 'пробиться', 'в', 'плей-офф', 'чемпионат', 'мир', 'по', 'хоккей', 'с', 'мяч']",-1
12,13,7,4111,"['в', 'подмосковье', 'произойти', 'пожар', 'на', 'железный', 'дорога']","['в', 'подмосковье', 'загореться', 'цистерна', 'с', 'бензин']",0
13,14,4,4112,"['северокорейский', 'лидер', 'впервые', 'за', '19', 'год', 'поздравить', 'гражданин', 'с', 'новый', 'год']","['лидер', 'кндр', 'впервые', 'за', '19', 'год', 'поздравить', 'согражданин', 'с', 'новый', 'год']",1
14,15,6,4113,"['мужчина', 'из', 'подмосковье', 'случайно', 'убить', 'жена', 'в', 'новый', 'год']","['житель', 'подмосковье', 'случайно', 'убить', 'жена', 'на', 'новогодний', 'застолье']",1
15,16,1,4114,"['избежать', '``', 'фискальный', 'обрыв', ""''"", 'сенат', 'сша', 'поддержать', 'повышение', 'налог']","['сенат', 'сша', 'не', 'допустить', '``', 'фискальный', 'обрыв', ""''""]",0
16,17,2,4114,"['``', 'фискальный', 'обрыв', ""''"", 'в', 'сша', 'временно', 'предотвратить']","['сенат', 'сша', 'не', 'допустить', '``', 'фискальный', 'обрыв', ""''""]",0
17,18,122,4222,"['житель', 'украина', 'расстрелять', 'посетитель', 'кафе']","['на', 'украина', 'мужчина', 'через', 'окно', 'расстрелять', 'посетитель', 'кафе']",1
18,19,5,4115,"['в', 'кот-д`ивуаре', 'десятка', 'человек', 'погибнуть', 'в', 'давка', 'на', 'новогодний', 'салют']","['в', 'давка', 'у', 'стадион', 'в', 'кот-д', '’', 'ивуаре', 'погибнуть', '60', 'человек']",0
19,20,188,4296,"['в', 'абхазия', 'отомстить', 'за', 'дед', 'хасан']","['в', 'абхазия', 'убить', 'враг', 'дед', 'хасан']",0
20,21,3,4116,"['чечня', 'попросить', 'националист', 'составить', 'кодекс', 'поведение', 'кавказец']","['националист', 'помочь', 'чечня', 'составить', 'кодекс', 'поведение', 'кавказец']",0
21,22,11,4117,"['в', 'новогодний', 'ночь', 'в', 'франция', 'сжечь', 'большой', 'тысяча', 'машина']","['в', 'новогодний', 'ночь', 'в', 'франция', 'сжечь', '1193', 'автомобиль']",1
22,23,12,4118,"['в', 'ангола', 'в', 'давка', 'в', 'время', 'церковный', 'служба', 'погибнуть', '10', 'человек']","['в', 'ход', 'давка', 'на', 'церковный', 'служба', 'в', 'ангола', 'погибнуть', '10', 'человек']",1
23,24,183,4297,"['morgan', 'stanley', 'взять', 'на', 'работа', 'бывший', 'зампред', 'банк', 'россия']","['бывший', 'глава', 'фсфр', 'найти', 'работа', 'в', 'morgan', 'stanley']",1
24,25,9,4119,"['конгресс', 'сша', 'утвердить', 'план', 'по', 'предотвращение', '``', 'фискальный', 'обрыв', ""''""]","['палата', 'представитель', 'утвердить', 'план', 'предотвращение', '``', 'фискальный', 'обрыв', ""''""]",1
